"ï»¿trueEasting","ETRS89GD-Lat","ETRS89GD-Long"
"460310","+53.96167444","-1.08228927"
"460280","+53.96158807","-1.08274842"
"460250","+53.96204088","-1.08319574"
"460260","+53.96221945","-1.08303941"
"460410","+53.96229186","-1.08075151"
"460400","+53.96067546","-1.08093946"
"460460","+53.96120765","-1.08001326"
"460220","+53.96222409","-1.08364899"
"460230","+53.96267226","-1.08348675"
"460500","+53.96183204","-1.07938985"
"460440","+53.96291742","-1.08028049"
"460120","+53.96142691","-1.08519063"
"460550","+53.96272486","-1.07860808"
"460090","+53.96286823","-1.08561637"
"460190","+53.95926203","-1.08417109"
"460630","+53.96118781","-1.07742262"
"460440","+53.96426539","-1.08025084"
"460030","+53.96071842","-1.08657786"
"460660","+53.96028565","-1.07698528"
"460420","+53.95824678","-1.08068796"
"459990","+53.96018385","-1.08719918"
"459950","+53.96171618","-1.08777542"
"460580","+53.96424906","-1.07811720"
"460660","+53.95911741","-1.07701104"
"460730","+53.96288354","-1.07586097"
"460320","+53.95771923","-1.08222357"
"459950","+53.95973915","-1.08781852"
"460740","+53.95964724","-1.07578008"
"459870","+53.96073691","-1.08901609"
"460200","+53.95746358","-1.08405800"
"459890","+53.95947649","-1.08873870"
"459830","+53.96217937","-1.08959436"
"460760","+53.95892598","-1.07549118"
"460260","+53.95700729","-1.08315357"
"460430","+53.95689765","-1.08056516"
"459900","+53.96459764","-1.08847472"
"460770","+53.96458628","-1.07521360"
"460690","+53.96540444","-1.07641496"
"460350","+53.95645764","-1.08179401"
"460350","+53.96670222","-1.08156917"
"459750","+53.96102034","-1.09083891"
"459880","+53.95812968","-1.08892040"
"459960","+53.95731165","-1.08771897"
"460470","+53.96695784","-1.07973429"
"459830","+53.96514491","-1.08952981"
"459720","+53.96327043","-1.09124728"
"459730","+53.95967467","-1.09117296"
"460700","+53.95668639","-1.07645500"
"460730","+53.95686261","-1.07599391"
"459830","+53.95759626","-1.08969401"
"460340","+53.95547029","-1.08196804"
"460890","+53.96520126","-1.07337081"
"459870","+53.96621867","-1.08889670"
"461020","+53.96024342","-1.07149935"
"459620","+53.96139476","-1.09281219"
"460100","+53.95549815","-1.08562492"
"460970","+53.95845201","-1.07230110"
"460370","+53.95501748","-1.08152078"
"460940","+53.95782649","-1.07277217"
"459690","+53.95842117","-1.09180978"
"459930","+53.96720026","-1.08796068"
"459620","+53.95986706","-1.09284531"
"461070","+53.96320307","-1.07067147"
"460730","+53.96737678","-1.07576162"
"460750","+53.95578189","-1.07571295"
"459860","+53.95624482","-1.08926618"
"459720","+53.96587651","-1.09119067"
"459920","+53.95560884","-1.08836563"
"460160","+53.95468242","-1.08472837"
"461030","+53.95790577","-1.07139877"
"461150","+53.96229500","-1.06947230"
"460390","+53.95420637","-1.08123378"
"459640","+53.95770800","-1.09258725"
"460410","+53.95420404","-1.08092905"
"460960","+53.95665590","-1.07249327"
"459800","+53.96739500","-1.08993816"
"459500","+53.96176801","-1.09463312"
"460920","+53.96690517","-1.07287572"
"460610","+53.95436044","-1.07787779"
"459750","+53.95598791","-1.09094814"
"459990","+53.96872102","-1.08701284"
"460670","+53.95435342","-1.07696359"
"460020","+53.95415945","-1.08687326"
"461090","+53.96571693","-1.07031070"
"460340","+53.96957906","-1.08165840"
"460630","+53.96918577","-1.07724608"
"459450","+53.95961698","-1.09544170"
"459850","+53.96864734","-1.08914868"
"460080","+53.95352345","-1.08597279"
"460000","+53.96952865","-1.08684275"
"459710","+53.95527360","-1.09157321"
"460920","+53.96852273","-1.07283983"
"460220","+53.95278830","-1.08385542"
"459700","+53.96866463","-1.09143498"
"459550","+53.96733390","-1.09375048"
"460700","+53.96998636","-1.07616126"
"461360","+53.96173100","-1.06628405"
"460760","+53.95308479","-1.07562006"
"461220","+53.96633064","-1.06831538"
"460050","+53.97060124","-1.08605704"
